lfdn;external_lfdn;tester;dispcode;lastpage;quality;duration;v_218;v_41;v_42;v_46;v_47;v_48;v_49;v_50;v_51;v_52;v_53;v_54;v_55;v_233;v_243;v_223;v_224;v_225;v_226;v_227;v_228;v_229;v_230;v_231;v_232;v_244;v_245;v_246;v_247;v_248;v_249;v_250;v_251;v_252;v_253;v_254;v_255;v_256;v_257;v_258;v_259;v_260;v_261;v_262;v_263;v_264;v_265;v_266;v_267;v_274;v_275;v_276;v_277;v_278;v_279;v_280;v_281;v_282;v_283;v_284;v_285;v_286;v_288;v_289;v_290;v_291;v_292;v_293;v_294;v_295;v_296;v_297;v_298;v_299;v_300;v_301;v_302;v_303;v_304;v_305;v_309;v_310;v_311;v_312;v_313;v_314;v_315;v_316;v_317;v_318;v_319;v_320;v_321;v_322;v_323;v_324;v_325;v_326;v_327;v_328;v_329;v_330;v_331;v_332;v_333;v_334;v_335;v_336;v_337;v_338;v_339;v_78;v_79;v_80;v_81;v_82;v_83;v_84;v_85;v_86;v_89;v_90;v_91;v_92;v_94;v_95
91;0;0;31;7015342;-77;155;0;-77;-77;-77;5;-77;-77;-77;6;-77;-77;4;-77;3;-77;-77;-77;4;-77;-77;-77;-77;5;-77;-77;-77;4;-77;-77;-77;-77;6;-77;-77;6;-77;-77;-77;-77;6;-77;-77;6;6;-77;-77;-77;3;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;1;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0
92;0;0;31;7015342;-77;157;0;-77;5;-77;-77;6;-77;-77;4;-77;-77;-77;-77;-77;-77;-77;6;-77;-77;-77;-77;5;-77;-77;4;-77;-77;-77;5;6;-77;-77;-77;5;-77;-77;-77;6;-77;-77;-77;-77;-77;-77;6;-77;-77;4;-77;2;2;1;2;1;2;2;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0
93;0;0;31;7015342;-77;278;0;6;-77;7;-77;-77;-77;7;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;4;-77;-77;7;-77;-77;5;-77;-77;-77;6;-77;-77;7;-77;-77;7;-77;-77;-77;3;-77;-77;4;-77;-77;6;-77;-77;-77;4;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;2;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1
94;0;0;31;7015342;-77;388;0;-77;-77;3;-77;3;-77;-77;-77;-77;4;-77;-77;-77;3;-77;-77;-77;-77;-77;5;-77;-77;4;-77;-77;-77;4;-77;-77;-77;-77;5;-77;-77;-77;2;-77;3;-77;-77;-77;5;2;-77;-77;4;-77;-77;2;2;1;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1
96;0;0;31;7015342;-77;255;0;3;-77;-77;-77;-77;2;-77;6;-77;-77;-77;-77;-77;-77;6;-77;-77;-77;-77;-77;4;-77;-77;3;4;-77;3;-77;-77;4;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;6;-77;-77;2;-77;4;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;2;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1
97;0;0;31;7015342;-77;168;0;-77;5;-77;5;-77;-77;-77;-77;-77;-77;4;-77;-77;-77;-77;-77;-77;5;-77;6;-77;6;-77;-77;-77;-77;-77;-77;-77;2;4;-77;5;-77;-77;-77;5;-77;4;-77;-77;-77;-77;3;-77;-77;3;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;2;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1
98;0;0;31;7015342;-77;144;0;-77;6;-77;-77;-77;-77;5;-77;-77;-77;-77;5;-77;-77;5;-77;-77;5;-77;-77;-77;3;-77;-77;-77;-77;5;-77;-77;-77;5;-77;-77;-77;-77;3;-77;6;-77;-77;6;-77;6;-77;-77;6;-77;-77;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0
99;0;0;31;7015342;-77;158;0;-77;4;-77;-77;-77;-77;-77;6;-77;-77;-77;3;-77;-77;5;-77;-77;4;-77;-77;5;-77;-77;-77;-77;6;-77;-77;-77;-77;-77;-77;-77;5;4;-77;-77;-77;5;-77;-77;5;-77;6;-77;-77;-77;-77;2;2;1;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1
100;0;0;31;7015342;-77;215;0;-77;-77;6;-77;-77;-77;-77;5;-77;-77;-77;3;6;-77;-77;-77;2;-77;-77;-77;3;-77;-77;-77;-77;1;-77;-77;2;-77;6;-77;-77;-77;-77;-77;-77;-77;-77;6;-77;-77;6;-77;-77;6;-77;4;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;1;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0
101;0;0;31;7015342;-77;343;0;-77;4;5;-77;-77;-77;-77;-77;-77;6;-77;-77;-77;-77;-77;-77;-77;3;-77;5;-77;-77;4;-77;-77;3;-77;-77;-77;-77;-77;-77;6;-77;-77;4;-77;-77;7;-77;5;-77;5;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1
103;0;0;31;7015342;-77;342;0;-77;2;-77;-77;7;-77;-77;-77;-77;-77;-77;6;-77;-77;7;-77;-77;-77;4;-77;-77;5;-77;-77;6;-77;7;-77;-77;-77;-77;-77;-77;3;-77;-77;-77;-77;-77;-77;-77;7;5;-77;-77;-77;-77;4;2;2;1;2;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1
105;0;0;31;7015342;-77;176;0;-77;-77;-77;-77;-77;-77;6;-77;7;-77;2;-77;4;-77;-77;6;-77;4;-77;-77;-77;-77;-77;-77;-77;-77;-77;4;-77;4;6;-77;-77;-77;-77;-77;5;-77;-77;-77;-77;-77;6;-77;-77;6;-77;5;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;2;2;2;1;2;2;1;2;2;2;2;2;2;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1
106;0;0;31;7015342;-77;247;0;-77;-77;-77;-77;-77;3;-77;-77;7;-77;-77;3;3;-77;-77;5;-77;-77;5;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;-77;6;-77;3;2;-77;-77;5;3;-77;6;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;2;2;1;2;1;1;2;2;2;2;2;2;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1
107;0;0;31;7015342;-77;549;0;-77;4;5;-77;-77;-77;-77;3;-77;-77;-77;-77;-77;-77;-77;-77;-77;6;-77;-77;4;-77;-77;5;-77;1;4;-77;-77;-77;-77;-77;-77;-77;5;-77;-77;-77;-77;-77;5;-77;-77;4;-77;2;-77;-77;2;2;2;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1
108;0;0;31;7015342;-77;207;0;-77;3;-77;-77;-77;4;-77;-77;3;-77;-77;-77;-77;-77;-77;3;-77;-77;4;-77;-77;-77;-77;2;-77;-77;-77;6;-77;-77;-77;5;5;-77;-77;-77;3;-77;-77;-77;-77;4;-77;4;-77;-77;-77;5;2;2;1;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0
109;0;0;31;7015342;-77;87;0;-77;-77;6;-77;-77;-77;-77;-77;4;-77;2;-77;4;-77;-77;-77;-77;6;1;-77;-77;-77;-77;-77;-77;-77;-77;-77;6;-77;6;-77;1;-77;-77;-77;3;-77;-77;7;-77;-77;-77;1;-77;-77;7;-77;1;2;2;2;1;1;2;1;1;1;1;2;1;1;2;2;1;2;2;2;2;2;2;2;1;1;1;1;1;2;1;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0
111;0;0;31;7015342;-77;121;0;-77;-77;-77;-77;5;-77;-77;-77;5;-77;5;-77;5;-77;-77;6;-77;-77;-77;5;-77;-77;-77;-77;-77;5;-77;-77;5;-77;-77;-77;-77;6;-77;-77;-77;-77;6;-77;-77;-77;5;-77;-77;-77;-77;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;1;2;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0
112;0;0;31;7015342;-77;172;0;1;-77;-77;1;-77;-77;-77;-77;4;-77;-77;-77;-77;-77;-77;-77;5;-77;-77;4;-77;-77;-77;6;-77;4;-77;-77;-77;-77;-77;5;5;-77;-77;-77;-77;-77;6;-77;-77;3;3;-77;-77;-77;-77;4;2;2;1;2;1;2;2;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1
113;0;0;31;7015342;-77;266;0;-77;-77;-77;-77;-77;-77;2;-77;-77;5;-77;2;-77;7;-77;5;3;-77;-77;-77;-77;-77;-77;-77;-77;-77;3;-77;-77;-77;-77;-77;-77;5;2;-77;5;-77;-77;-77;-77;3;5;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;2;2;1;2;1;2;2;2;2;2;2;2;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1
114;0;0;31;7015342;-77;179;0;-77;3;-77;-77;2;-77;-77;4;-77;-77;-77;-77;-77;-77;5;-77;-77;-77;-77;-77;6;-77;3;-77;-77;-77;2;-77;-77;-77;3;-77;5;-77;-77;-77;-77;2;-77;-77;2;-77;-77;6;-77;-77;6;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;2;1;2;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1
115;0;0;31;7015342;-77;161;0;-77;3;6;-77;1;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;7;7;-77;3;-77;-77;-77;7;-77;1;-77;-77;-77;-77;-77;3;-77;1;-77;-77;-77;-77;-77;7;-77;-77;7;-77;-77;2;2;1;2;1;2;2;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1
117;0;0;31;7015342;-77;194;0;3;-77;-77;5;-77;-77;4;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;-77;-77;-77;-77;5;3;-77;1;-77;4;-77;-77;-77;-77;-77;7;-77;-77;-77;-77;-77;-77;-77;-77;1;-77;3;-77;-77;-77;4;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;2;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1
116;0;0;31;7015342;-77;156;0;-77;4;2;-77;-77;-77;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;6;-77;-77;-77;6;-77;7;-77;-77;-77;-77;3;-77;-77;2;1;-77;-77;-77;-77;1;1;-77;-77;-77;-77;1;-77;-77;7;-77;2;2;1;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1
118;0;0;32;7015342;-77;-1;0;-77;-77;-77;-77;1;-77;4;-77;4;-77;-77;-77;1;-77;1;-77;-77;-77;-77;-77;-77;-77;7;-77;-77;-77;-77;4;1;-77;-77;4;-77;-77;-77;-77;-77;1;-77;-77;-77;-77;4;-77;4;-77;-77;7;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;2;2;2;1;2;2;1;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2;2;1;2;2;2;2;2;2;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1
125;0;0;31;7015342;-77;192;0;-77;-77;4;-77;-77;4;-77;-77;-77;-77;4;-77;1;-77;-77;-77;-77;-77;-77;7;4;-77;-77;-77;-77;-77;-77;7;1;-77;-77;-77;-77;-77;4;-77;-77;1;-77;-77;-77;-77;-77;7;4;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1
122;0;0;31;7015342;-77;152;0;-77;-77;7;-77;6;-77;-77;-77;4;-77;-77;-77;5;-77;-77;-77;-77;-77;-77;3;-77;-77;3;-77;-77;-77;-77;-77;3;-77;6;-77;-77;5;-77;-77;-77;6;-77;6;-77;-77;-77;2;-77;-77;5;-77;2;2;1;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;1;0;0;0;0;1;0;0;1;1;0;0;0;1
121;0;0;31;7015342;-77;131;0;-77;-77;-77;-77;-77;-77;7;-77;-77;7;-77;7;4;-77;-77;4;-77;4;-77;-77;-77;-77;-77;-77;-77;4;1;-77;-77;-77;-77;-77;4;-77;-77;-77;-77;-77;-77;-77;1;-77;-77;7;-77;-77;-77;7;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;1;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1
123;0;0;31;7015342;-77;159;0;4;-77;-77;-77;-77;6;-77;-77;-77;-77;-77;3;-77;-77;-77;5;-77;-77;7;-77;-77;6;-77;-77;-77;-77;6;-77;-77;-77;-77;-77;-77;6;6;-77;6;-77;-77;-77;7;-77;7;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;2;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1
124;0;0;31;7015342;-77;166;0;-77;-77;4;-77;-77;3;-77;-77;-77;-77;-77;5;3;-77;-77;-77;-77;-77;2;-77;-77;5;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;-77;6;3;-77;3;-77;2;-77;2;-77;6;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;2;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1
126;0;0;31;7015342;-77;150;0;-77;4;-77;-77;-77;-77;-77;-77;7;-77;-77;7;-77;-77;7;-77;-77;7;-77;4;-77;-77;-77;-77;-77;-77;-77;4;-77;-77;7;-77;-77;1;-77;-77;-77;1;-77;-77;1;-77;-77;1;-77;-77;-77;4;2;2;1;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1
129;0;0;31;7015342;-77;143;0;-77;-77;-77;7;-77;-77;-77;-77;-77;5;4;-77;6;-77;-77;-77;-77;1;-77;6;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;5;-77;3;2;-77;-77;6;7;-77;-77;1;-77;6;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;2;2;2;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1
130;0;0;32;7015342;-77;-1;0;-77;-77;-77;4;-77;-77;-77;5;-77;-77;2;-77;5;-77;-77;-77;-77;7;-77;-77;-77;1;-77;-77;-77;-77;-77;-77;-77;6;-77;6;-77;-77;-77;2;7;-77;7;-77;-77;-77;-77;7;-77;7;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;1;2;1;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1
131;0;0;31;7015342;-77;340;0;-77;4;-77;-77;-77;-77;5;-77;-77;6;-77;-77;-77;-77;-77;6;-77;4;-77;-77;-77;-77;5;-77;4;-77;-77;4;-77;-77;3;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;5;3;-77;6;-77;-77;5;2;2;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1
132;0;0;31;7015342;-77;478;0;3;-77;-77;-77;5;-77;-77;-77;-77;6;-77;-77;-77;-77;-77;7;-77;-77;6;-77;-77;-77;5;-77;6;-77;-77;-77;-77;3;6;-77;-77;-77;-77;-77;-77;-77;-77;6;-77;-77;-77;4;6;-77;-77;4;2;2;1;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1
143;0;0;31;7015342;-77;278;0;-77;7;4;-77;-77;-77;-77;-77;-77;-77;7;-77;-77;-77;-77;-77;-77;7;7;-77;7;-77;-77;-77;-77;-77;-77;4;4;-77;-77;-77;7;-77;-77;-77;7;-77;-77;-77;-77;-77;-77;7;-77;-77;4;-77;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1
134;0;0;31;7015342;-77;171;0;-77;7;-77;-77;-77;-77;-77;-77;7;-77;7;-77;-77;-77;4;-77;-77;7;3;-77;-77;-77;-77;-77;6;-77;-77;-77;-77;4;-77;-77;7;-77;-77;-77;-77;-77;-77;6;-77;-77;-77;5;-77;-77;-77;6;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;1;2;2;2;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1
135;0;0;31;7015342;-77;159;0;7;-77;-77;-77;-77;4;-77;4;-77;-77;-77;-77;-77;-77;-77;4;-77;-77;-77;-77;1;-77;1;-77;7;-77;-77;4;-77;-77;-77;-77;-77;-77;-77;1;-77;-77;-77;-77;7;-77;-77;1;7;-77;-77;-77;2;2;1;2;1;2;1;1;2;2;2;2;2;2;1;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1
136;0;0;31;7015342;-77;207;0;-77;5;-77;3;-77;-77;-77;-77;5;-77;-77;-77;-77;-77;-77;-77;7;-77;5;-77;-77;-77;2;-77;3;-77;-77;-77;-77;-77;5;-77;-77;-77;3;-77;-77;-77;-77;2;-77;2;6;-77;-77;2;-77;-77;2;2;1;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1
137;0;0;31;7015342;-77;261;0;-77;-77;-77;-77;-77;3;-77;-77;5;-77;-77;5;-77;2;5;-77;-77;-77;-77;3;-77;-77;-77;-77;5;-77;-77;4;-77;-77;-77;-77;5;-77;-77;-77;-77;-77;-77;-77;3;-77;-77;2;-77;-77;5;-77;2;2;1;2;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1
138;0;0;31;7015342;-77;256;0;-77;-77;-77;6;-77;-77;-77;4;-77;-77;-77;4;-77;3;-77;-77;6;-77;-77;-77;-77;3;-77;-77;-77;3;-77;-77;-77;6;-77;-77;-77;-77;5;-77;-77;-77;7;-77;-77;-77;-77;2;-77;3;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;-77;2;2;2;2;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1
